City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Manzhouli,CN,49.6,117.43,266.16,93,0,2.67,1605397354
Maragogi,BR,-9.01,-35.22,298.63,83,2,5.07,1605397323
Ponta do Sol,PT,32.67,-17.1,295.15,88,75,3.1,1605397355
Albany,US,42.6,-73.97,279.26,63,12,3.88,1605397355
Saint Paul Harbor,US,57.79,-152.41,276.15,51,20,3.6,1605397355
Lillehammer,NO,61.11,10.47,277.04,90,100,2.25,1605397355
Havelock,US,34.88,-76.9,288.15,82,1,1.5,1605397209
Kunszentmiklós,HU,47.03,19.13,281.15,87,90,2.1,1605397356
Hobart,AU,-42.88,147.33,290.37,51,75,5.1,1605397172
Cape Town,ZA,-33.93,18.42,288.15,82,20,4.6,1605396643
Rikitea,PF,-23.12,-134.97,297.62,83,86,6.88,1605397356
Port Lincoln,AU,-34.73,135.87,298.43,38,27,2.58,1605397087
Port Macquarie,AU,-31.43,152.92,302.04,45,0,0.89,1605397356
Jamestown,US,42.1,-79.24,277.59,60,1,1.5,1605397356
Qaqortoq,GL,60.72,-46.03,265.15,67,0,6.7,1605397357
Hermanus,ZA,-34.42,19.23,286.48,87,88,1.82,1605397357
Along,IN,28.17,94.77,284.79,54,0,0.74,1605397357
Punta Arenas,CL,-53.15,-70.92,281.15,65,75,13.9,1605397357
Longyearbyen,SJ,78.22,15.64,277.15,80,40,9.8,1605397357
Gamba,GA,-2.65,10.0,298.24,92,100,2.46,1605397357
Kutum,SD,14.2,24.67,289.61,30,0,7.12,1605397357
Mataura,NZ,-46.19,168.86,292.44,59,100,1.1,1605397358
Aksu,CN,41.12,80.26,274.59,68,74,1.83,1605397358
Singuilucan,MX,19.97,-98.52,287.44,68,0,2.8,1605397358
Alofi,NU,-19.06,-169.92,301.15,69,46,5.7,1605397358
Makakilo City,US,21.35,-158.09,302.15,58,75,4.1,1605397087
Atuona,PF,-9.8,-139.03,298.57,75,33,6.41,1605397358
Lebu,CL,-37.62,-73.65,284.55,73,0,8.4,1605397231
Aykhal,RU,66.0,111.5,254.15,91,90,3.0,1605397359
Koumac,NC,-20.57,164.28,300.52,69,8,3.0,1605397359
Busselton,AU,-33.65,115.33,289.82,98,16,6.13,1605397359
Tamandaré,BR,-8.76,-35.1,298.75,83,19,4.93,1605397359
Florø,NO,61.6,5.03,283.15,66,99,8.7,1605397359
Springdale,US,36.19,-94.13,293.15,94,40,9.3,1605397359
Santa Vitória,BR,-18.84,-50.12,296.17,85,100,1.68,1605397360
Nikolskoye,RU,59.7,30.79,273.71,92,75,3.0,1605397360
Bengkulu,ID,-3.8,102.27,298.75,82,89,1.71,1605397360
Thompson,CA,55.74,-97.86,265.15,85,90,3.6,1605397079
Klamath Falls,US,42.22,-121.78,277.59,69,90,3.1,1605397360
Chui,UY,-33.7,-53.46,292.82,88,99,3.6,1605397360
Norman Wells,CA,65.28,-126.83,252.15,83,75,1.5,1605397360
Avarua,CK,-21.21,-159.78,300.15,74,46,6.2,1605397361
Port Alfred,ZA,-33.59,26.89,290.53,85,77,3.6,1605397361
The Pas,CA,53.83,-101.25,268.15,92,90,6.7,1605397361
Fare,PF,-16.7,-151.02,300.26,71,98,3.18,1605397361
Vaini,TO,-21.2,-175.2,301.15,78,40,4.1,1605397361
Margate,GB,51.38,1.39,287.04,84,89,2.24,1605397362
Tegul'det,RU,57.31,88.17,265.39,97,90,1.35,1605397362
Morondava,MG,-20.28,44.28,296.86,61,5,1.2,1605397362
Sol'-Iletsk,RU,51.16,54.99,264.27,93,0,4.27,1605397362
Sørland,NO,67.67,12.69,281.45,76,41,15.77,1605397362
Lensk,RU,60.73,114.93,260.85,92,100,4.78,1605397362
Cabo San Lucas,MX,22.89,-109.91,298.15,50,75,4.1,1605397149
Severo-Kuril'sk,RU,50.68,156.12,277.39,91,78,7.82,1605397363
Hithadhoo,MV,-0.6,73.08,301.47,77,100,9.48,1605397363
Ushuaia,AR,-54.8,-68.3,279.15,79,75,4.19,1605397146
Saskylakh,RU,71.92,114.08,257.22,92,89,6.7,1605397363
